age,annual_income,loan_amount,loan_term_months,credit_score,existing_debt,derogatory_marks,employment_length_years,dti_ratio,loan_to_income,default
59,26446.66,31062.31,24,794,18185.04,0,10,8.8386,1.1745,1
49,28989.68,36171.79,60,461,28321.13,0,6,11.9728,1.2477,1
35,71486.3,17406.84,36,806,13559.37,1,8,2.3573,0.2435,1
63,39560.14,35551.23,60,564,8135.44,0,4,2.6475,0.8987,1
28,135163.48,27286.01,60,409,21824.51,0,1,1.978,0.2019,1
41,118253.16,34279.04,48,618,11309.1,0,11,1.2201,0.2899,1
59,133815.74,42120.0,36,431,23976.52,0,3,2.255,0.3148,1
39,28285.15,10843.0,48,432,11233.51,0,12,4.8617,0.3833,1
43,65810.5,31450.44,48,693,36309.88,1,1,6.7403,0.4779,1
31,36808.55,4501.34,36,334,14084.13,2,14,4.6323,0.1223,1
31,59678.26,6901.52,36,671,36344.29,0,0,7.3466,0.1156,1
44,30231.26,34380.52,48,330,11539.53,2,17,4.8648,1.1373,1
56,102302.95,5405.01,60,473,24375.95,0,22,2.8698,0.0528,1
60,30572.04,30577.17,60,689,5643.63,0,1,2.4152,1.0002,1
44,15239.66,12560.6,24,405,31245.69,0,3,25.0156,0.8242,1
23,166087.24,16596.07,60,574,8408.6,0,20,0.6275,0.0999,0
42,63927.06,8222.55,36,395,34628.81,0,18,6.5432,0.1286,1
22,25810.17,13936.04,36,329,18371.61,0,19,8.7215,0.5399,1
44,44472.99,41422.01,24,460,4234.31,0,9,1.6082,0.9314,1
64,34678.87,32666.16,36,605,14859.77,0,12,5.4559,0.942,1
50,49189.96,47588.47,48,495,31299.17,2,18,7.8774,0.9674,1
58,79353.55,4339.75,24,637,3513.65,1,7,0.5587,0.0547,0
22,72219.65,40035.78,24,437,25216.3,0,9,4.4671,0.5544,1
41,57081.62,35555.7,60,746,20537.02,0,7,4.442,0.6229,1
53,49175.55,14522.83,60,609,12739.85,0,18,3.1679,0.2953,1
32,93639.02,37000.0,48,478,30346.89,0,8,3.9878,0.3951,1
42,15440.13,36394.33,48,636,2571.41,0,8,2.5878,2.3571,1
64,31277.07,24048.57,60,533,20156.85,0,22,7.8873,0.7689,1
45,27249.82,35054.7,60,548,20521.09,0,12,9.2942,1.2864,1
69,89657.73,23339.88,48,431,3913.04,3,0,0.5888,0.2603,1
47,31462.27,18106.19,60,548,5872.9,0,11,2.3551,0.5755,1
62,22661.59,24391.57,24,754,16681.35,2,9,9.3715,1.0763,1
48,68158.87,44966.22,48,798,21692.64,2,18,3.9841,0.6597,1
36,28417.24,20460.02,60,362,2601.22,0,7,1.2424,0.72,1
35,39718.17,21377.03,36,691,964.38,0,21,0.4708,0.5382,1
67,204574.26,31203.35,36,556,8107.87,0,24,0.5264,0.1525,0
64,78612.27,38143.97,48,547,19768.47,0,10,3.1389,0.4852,1
23,43190.49,37261.8,36,563,2091.01,0,10,0.8685,0.8627,1
57,45584.5,2950.34,36,766,29462.8,0,15,7.7776,0.0647,1
27,84498.79,34995.94,24,660,6501.16,0,10,1.1303,0.4142,0
41,72964.06,23626.59,48,692,31018.14,1,24,5.1823,0.3238,1
29,51295.57,27156.32,36,478,8586.97,0,0,2.1853,0.5294,1
59,52163.38,28959.84,60,805,14191.47,0,5,3.3757,0.5552,1
38,20172.81,37122.54,48,798,19424.17,1,12,12.0147,1.8402,1
24,17782.92,41903.98,48,591,14217.2,0,10,10.1829,2.3564,1
45,44086.4,33020.53,36,398,1432.97,1,2,0.6397,0.749,1
34,33524.4,29067.55,36,480,36388.68,2,20,13.3143,0.8671,1
29,69678.52,19940.92,24,702,11815.43,0,0,2.1779,0.2862,1
46,55177.35,8618.15,60,673,5873.42,0,13,1.3086,0.1562,1
22,30832.83,48011.73,24,552,5734.47,0,10,3.0104,1.5572,1
40,54063.74,24168.43,24,421,38997.19,0,13,8.8793,0.447,1
48,38141.58,29178.19,60,741,5360.78,0,22,1.8396,0.765,1
67,169390.3,38051.51,36,544,14188.62,0,21,1.08,0.2246,0
27,61805.36,5283.7,24,790,3171.05,1,9,0.6584,0.0855,0
64,19218.64,43040.53,48,345,29551.18,0,20,19.0115,2.2395,1
28,146138.35,40257.24,24,751,24071.69,1,1,2.1144,0.2755,1
67,33527.14,39172.57,60,595,21575.97,0,23,7.9561,1.1684,1
55,27314.09,3055.17,24,440,34305.69,1,4,15.1276,0.1119,1
34,177408.81,27272.9,24,820,23146.8,0,14,1.6425,0.1537,0
37,60325.01,4604.88,48,365,38243.47,0,17,7.6266,0.0763,1
56,74642.07,28441.88,60,782,25099.81,0,15,4.1114,0.381,1
60,76102.48,36485.52,48,608,14496.45,0,19,2.4057,0.4794,1
24,43321.58,7848.81,36,759,1951.5,0,23,0.601,0.1812,1
22,34771.62,35354.39,60,697,29148.39,0,23,10.2627,1.0168,1
26,38347.53,23577.58,24,768,15258.98,0,2,5.0824,0.6148,1
62,128710.34,40954.54,48,691,24168.49,0,23,2.3328,0.3182,1
24,55396.55,27612.27,48,396,35115.75,0,8,7.7314,0.4984,1
49,107769.4,18133.83,60,489,802.5,1,17,0.123,0.1683,1
38,46823.15,17935.6,48,494,30504.69,0,21,7.9136,0.383,1
46,31156.24,45079.35,60,633,17693.75,0,18,7.1042,1.4469,1
64,20633.48,23737.84,36,382,5400.38,0,4,3.5242,1.1505,1
54,72316.09,21476.19,60,550,23507.08,0,3,3.9601,0.297,1
30,135463.68,3913.93,60,369,21538.29,0,7,1.9137,0.0289,1
56,28808.22,19487.58,36,591,33771.17,0,6,14.2928,0.6765,1
34,66704.22,42782.1,36,639,21101.73,3,22,4.01,0.6414,1
51,21474.7,38527.41,24,684,33180.4,0,10,19.4382,1.7941,1
68,35121.96,12603.83,48,757,22007.33,0,11,7.6089,0.3589,1
35,57570.3,21826.72,36,440,18154.35,0,11,3.9105,0.3791,1
28,17379.1,11435.82,36,439,15161.76,3,15,10.6883,0.658,1
34,48493.55,47802.41,48,374,7361.05,0,15,2.068,0.9857,1
43,29672.61,30709.66,48,399,23569.22,0,14,9.7904,1.0349,1
60,70463.88,38209.03,24,474,21997.89,2,0,4.0174,0.5422,1
41,44389.56,36262.82,24,622,39041.72,0,14,10.9628,0.8169,1
36,86134.34,43937.09,60,776,16790.15,2,21,2.4412,0.5101,1
65,41449.91,47567.73,24,309,17150.17,1,17,5.5389,1.1476,1
38,21645.92,3557.42,36,345,6972.92,0,23,3.9204,0.1643,1
67,20086.92,48814.46,36,815,24104.08,0,5,15.2099,2.4302,1
44,15593.26,43786.04,48,612,33990.16,0,8,26.8596,2.808,1
46,71666.21,20381.48,24,537,10292.97,0,16,1.8657,0.2844,1
45,227439.27,42179.32,60,330,858.58,0,23,0.0824,0.1855,0
65,63649.25,37354.78,60,809,27813.21,1,11,5.3611,0.5869,1
61,133683.2,40069.49,60,429,1739.26,0,1,0.2161,0.2997,0
49,96775.0,12593.17,60,684,16666.41,0,15,2.0926,0.1301,1
35,35918.16,33131.06,48,324,24702.06,3,22,8.4834,0.9224,1
65,104735.1,3244.44,24,560,15747.46,0,14,1.8198,0.031,1
21,36785.36,42715.0,24,697,10792.84,0,11,4.1014,1.1612,1
45,37226.47,47650.06,24,629,32071.03,0,14,10.9781,1.28,1
27,43253.98,33781.93,24,448,12386.86,0,12,3.827,0.781,1
29,44501.63,26608.14,60,708,7611.85,1,11,2.1721,0.5979,0
44,72898.38,36835.09,60,418,15841.67,0,18,2.7088,0.5053,1
21,32776.53,17665.34,48,733,5700.76,1,15,2.2219,0.539,1
64,83571.82,32066.61,48,527,27770.68,0,6,4.0835,0.3837,1
28,82854.92,36510.7,60,539,28548.18,0,16,4.2228,0.4407,1
44,60221.1,8848.68,36,531,1083.75,0,9,0.2649,0.1469,1
31,156963.28,8723.26,24,589,27947.23,0,8,2.1644,0.0556,0
37,106131.65,36374.63,48,453,12310.0,0,5,1.4775,0.3427,1
